,timestamp,light
0,5000.0,12.0
1,5100.0,12.0
2,5200.0,12.0
3,5300.0,12.0
4,5400.0,10.0
5,5500.0,10.0
6,5600.0,15.0
7,5700.0,15.0
8,5800.0,21.0
9,5900.0,21.0
10,6000.0,24.0
11,6100.0,24.0
12,6200.0,20.0
13,6300.0,20.0
14,6400.0,10.0
15,6500.0,10.0
16,6600.0,7.0
17,6700.0,7.0
18,6800.0,7.0
19,6900.0,7.0
20,7000.0,11.0
21,7100.0,11.0
22,7200.0,11.0
23,7300.0,11.0
24,7400.0,20.0
25,7500.0,20.0
26,7600.0,20.0
27,7700.0,20.0
28,7800.0,11.0
29,7900.0,11.0
30,8000.0,5.0
31,8100.0,5.0
32,8200.0,3.0
33,8300.0,3.0
34,8400.0,6.0
35,8500.0,6.0
36,8600.0,10.0
37,8700.0,10.0
38,8800.0,10.0
39,8900.0,10.0
40,9000.0,9.0
41,9100.0,9.0
42,9200.0,5.0
43,9300.0,5.0
44,9400.0,0.0
45,9500.0,0.0
46,9600.0,5.0
47,9700.0,5.0
48,9800.0,8.0
49,9900.0,8.0
50,10000.0,9.0
51,10100.0,9.0
52,10200.0,10.0
53,10300.0,10.0
54,10400.0,10.0
55,10500.0,10.0
56,10600.0,9.0
57,10700.0,9.0
58,10800.0,8.0
59,10900.0,8.0
60,11000.0,9.0
61,11100.0,9.0
62,11200.0,12.0
63,11300.0,12.0
64,11400.0,13.0
65,11500.0,13.0
66,11600.0,14.0
67,11700.0,14.0
68,11800.0,12.0
69,11900.0,12.0
70,12000.0,9.0
71,12100.0,9.0
72,12200.0,10.0
73,12300.0,10.0
74,12400.0,10.0
75,12500.0,10.0
76,12600.0,15.0
77,12700.0,15.0
78,12800.0,17.0
79,12900.0,17.0
80,13000.0,19.0
81,13100.0,19.0
82,13200.0,19.0
83,13300.0,19.0
84,13400.0,17.0
85,13500.0,17.0
86,13600.0,17.0
87,13700.0,17.0
88,13800.0,17.0
89,13900.0,17.0
90,14000.0,21.0
91,14100.0,21.0
92,14200.0,32.0
93,14300.0,32.0
94,14400.0,36.0
95,14500.0,36.0
96,14600.0,39.0
97,14700.0,39.0
98,14800.0,43.0
99,14900.0,43.0
100,15000.0,30.0
101,15100.0,30.0
102,15200.0,22.0
103,15300.0,22.0
104,15400.0,21.0
105,15500.0,21.0
106,15600.0,33.0
107,15700.0,33.0
108,15800.0,51.0
109,15900.0,51.0
110,16000.0,71.0
111,16100.0,71.0
112,16200.0,68.0
113,16300.0,68.0
114,16400.0,43.0
115,16500.0,43.0
116,16600.0,25.0
117,16700.0,25.0
118,16800.0,25.0
119,16900.0,25.0
120,17000.0,23.0
121,17100.0,23.0
122,17200.0,27.0
123,17300.0,27.0
124,17400.0,35.0
125,17500.0,35.0
126,17600.0,48.0
127,17700.0,48.0
128,17800.0,50.0
129,17900.0,50.0
130,18000.0,35.0
131,18100.0,35.0
132,18200.0,17.0
133,18300.0,17.0
134,18400.0,7.0
135,18500.0,7.0
136,18600.0,4.0
137,18700.0,4.0
138,18800.0,16.0
139,18900.0,16.0
140,19000.0,13.0
141,19100.0,13.0
142,19200.0,6.0
143,19300.0,6.0
144,19400.0,8.0
145,19500.0,8.0
146,19600.0,10.0
147,19700.0,10.0
148,19800.0,7.0
149,19900.0,7.0
150,20000.0,7.0
151,20100.0,7.0
152,20200.0,5.0
153,20300.0,5.0
154,20400.0,7.0
155,20500.0,7.0
156,20600.0,10.0
157,20700.0,10.0
158,20800.0,10.0
159,20900.0,10.0
160,21000.0,8.0
161,21100.0,8.0
162,21200.0,7.0
163,21300.0,7.0
164,21400.0,7.0
165,21500.0,7.0
166,21600.0,11.0
167,21700.0,11.0
168,21800.0,16.0
169,21900.0,16.0
170,22000.0,19.0
171,22100.0,19.0
172,22200.0,18.0
173,22300.0,18.0
174,22400.0,15.0
175,22500.0,15.0
176,22600.0,12.0
