,timestamp,light,timestamp,uv,timestamp,gx,gy,gz,timestamp,mx,my,mz,mAc,timestamp,ax,ay,az,timestamp,pressure
0,5000.0,99.0,5000.0,0.0,5000.0,-9.461199760437012,6.2260799407958975,-1.2818399667739868,5000.0,-27.05,-0.29,-21.6,ACCURACY_VERYGOOD,5000.0,-0.7992027401924133,6.484549045562744,-6.451050281524657,5000.0,1001.03
1,5100.0,99.0,5100.0,0.0,5100.0,-9.461199760437012,6.2260799407958975,-1.2818399667739868,5100.0,-27.05,-0.29,-21.6,ACCURACY_VERYGOOD,5100.0,-0.7992027401924133,6.484549045562744,-6.451050281524657,5100.0,1001.03
2,5200.0,99.0,5200.0,0.0,5200.0,-9.461199760437012,6.2260799407958975,-1.2818399667739868,5200.0,-25.68,1.55,-23.1,ACCURACY_VERYGOOD,5200.0,-0.7992027401924133,6.484549045562744,-6.451050281524657,5200.0,1001.03
3,5300.0,99.0,5300.0,0.0,5300.0,-9.461199760437012,6.2260799407958975,-1.2818399667739868,5300.0,-27.05,-0.29,-21.6,ACCURACY_VERYGOOD,5300.0,-0.7992027401924133,6.484549045562744,-6.451050281524657,5300.0,1001.03
4,5400.0,99.0,5400.0,0.0,5400.0,-9.461199760437012,6.2260799407958975,-1.2818399667739868,5400.0,-27.77,-0.35,-23.76,ACCURACY_VERYGOOD,5400.0,-0.7992027401924133,6.484549045562744,-6.451050281524657,5400.0,1001.03
5,5500.0,98.0,5500.0,0.0,5500.0,34.18239974975586,1.0376800298690796,2.1363999843597408,5500.0,-26.34,-0.35,-23.76,ACCURACY_VERYGOOD,5500.0,0.5216353535652161,6.144768238067628,-7.496713638305664,5500.0,1001.03
6,5600.0,99.0,5600.0,0.0,5600.0,34.18239974975586,1.0376800298690796,2.1363999843597408,5600.0,-27.05,0.05,-22.92,ACCURACY_VERYGOOD,5600.0,0.5216353535652161,6.144768238067628,-7.496713638305664,5600.0,1001.03
7,5700.0,99.0,5700.0,0.0,5700.0,71.59992218017578,27.40695953369141,2.1363999843597408,5700.0,-24.23,-1.07,-24.0,ACCURACY_VERYGOOD,5700.0,-2.2779672145843506,4.7952165603637695,-3.7328033447265625,5700.0,1001.03
8,5800.0,97.0,5800.0,0.0,5800.0,71.59992218017578,27.40695953369141,2.1363999843597408,5800.0,-25.68,0.47,-24.18,ACCURACY_VERYGOOD,5800.0,-2.2779672145843506,4.7952165603637695,-3.7328033447265625,5800.0,1001.06
9,5900.0,97.0,5900.0,0.0,5900.0,71.59992218017578,27.40695953369141,2.1363999843597408,5900.0,-26.34,-0.59,-23.15,ACCURACY_VERYGOOD,5900.0,-2.2779672145843506,4.7952165603637695,-3.7328033447265625,5900.0,1001.06
