,Unnamed: 0,timestamp,mx,my,mz,mAc
0,0.0,5000.0,65.51,-39.41,4.85,ACCURACY_BAD
1,1.0,5100.0,65.51,-39.41,4.85,ACCURACY_BAD
2,2.0,5200.0,69.0,-36.0,-1.07,ACCURACY_BAD
3,3.0,5300.0,70.43,-33.18,-3.0,ACCURACY_BAD
4,4.0,5400.0,70.43,-23.45,-8.27,ACCURACY_BAD
5,5.0,5500.0,71.09,-16.02,-10.85,ACCURACY_BAD
6,6.0,5600.0,72.47,-11.69,-10.85,ACCURACY_BAD
7,7.0,5700.0,72.47,-14.09,-10.26,ACCURACY_BAD
8,8.0,5800.0,74.58,-15.83,-11.51,ACCURACY_BAD
9,9.0,5900.0,72.47,-15.83,-9.35,ACCURACY_BAD
10,5.0,5500.0,71.09,-16.02,-10.85,ACCURACY_BAD
11,6.0,5600.0,72.47,-11.69,-10.85,ACCURACY_BAD
12,7.0,5700.0,72.47,-14.09,-10.26,ACCURACY_BAD
13,8.0,5800.0,74.58,-15.83,-11.51,ACCURACY_BAD
14,9.0,5900.0,72.47,-15.83,-9.35,ACCURACY_BAD
15,10.0,6000.0,75.29,-15.35,-8.51,ACCURACY_BAD
16,11.0,6100.0,76.68,-20.69,-10.26,ACCURACY_BAD
17,12.0,6200.0,76.01,-27.77,-6.23,ACCURACY_BAD
18,13.0,6300.0,78.77,-31.26,-4.5,ACCURACY_BAD
19,14.0,6400.0,73.91,-36.29,-2.57,ACCURACY_BAD
20,10.0,6000.0,75.29,-15.35,-8.51,ACCURACY_BAD
21,11.0,6100.0,76.68,-20.69,-10.26,ACCURACY_BAD
22,12.0,6200.0,76.01,-27.77,-6.23,ACCURACY_BAD
23,13.0,6300.0,78.77,-31.26,-4.5,ACCURACY_BAD
24,14.0,6400.0,73.91,-36.29,-2.57,ACCURACY_BAD
25,15.0,6500.0,71.81,-35.75,0.35,ACCURACY_BAD
26,16.0,6600.0,71.81,-33.84,-1.07,ACCURACY_BAD
27,17.0,6700.0,70.43,-34.68,-2.81,ACCURACY_BAD
28,18.0,6800.0,72.47,-27.84,-8.34,ACCURACY_BAD
29,19.0,6900.0,74.58,-24.53,-7.25,ACCURACY_BAD
30,15.0,6500.0,71.81,-35.75,0.35,ACCURACY_BAD
31,16.0,6600.0,71.81,-33.84,-1.07,ACCURACY_BAD
32,17.0,6700.0,70.43,-34.68,-2.81,ACCURACY_BAD
33,18.0,6800.0,72.47,-27.84,-8.34,ACCURACY_BAD
34,19.0,6900.0,74.58,-24.53,-7.25,ACCURACY_BAD
35,20.0,7000.0,77.4,-15.65,-9.96,ACCURACY_BAD
36,21.0,7100.0,78.05,-9.53,-13.01,ACCURACY_BAD
37,22.0,7200.0,77.4,-11.51,-11.46,ACCURACY_BAD
38,23.0,7300.0,80.15,-17.76,-9.96,ACCURACY_BAD
39,24.0,7400.0,82.25,-19.02,-6.17,ACCURACY_BAD
40,20.0,7000.0,77.4,-15.65,-9.96,ACCURACY_BAD
41,21.0,7100.0,78.05,-9.53,-13.01,ACCURACY_BAD
42,22.0,7200.0,77.4,-11.51,-11.46,ACCURACY_BAD
43,23.0,7300.0,80.15,-17.76,-9.96,ACCURACY_BAD
44,24.0,7400.0,82.25,-19.02,-6.17,ACCURACY_BAD
45,25.0,7500.0,85.08,-22.55,-6.59,ACCURACY_BAD
46,26.0,7600.0,87.18,-29.45,-1.07,ACCURACY_BAD
47,27.0,7700.0,84.36,-36.59,5.03,ACCURACY_BAD
48,28.0,7800.0,74.58,-40.91,7.19,ACCURACY_BAD
49,29.0,7900.0,65.51,-45.59,14.93,ACCURACY_BAD
50,25.0,7500.0,85.08,-22.55,-6.59,ACCURACY_BAD
51,26.0,7600.0,87.18,-29.45,-1.07,ACCURACY_BAD
52,27.0,7700.0,84.36,-36.59,5.03,ACCURACY_BAD
53,28.0,7800.0,74.58,-40.91,7.19,ACCURACY_BAD
54,29.0,7900.0,65.51,-45.59,14.93,ACCURACY_BAD
55,30.0,8000.0,59.93,-44.93,15.11,ACCURACY_BAD
56,31.0,8100.0,60.65,-45.29,20.69,ACCURACY_BAD
57,32.0,8200.0,64.13,-44.87,19.37,ACCURACY_BAD
