,timestamp,mx,my,mz,mAc,timestamp,light,timestamp,ax,ay,az,timestamp,uv,timestamp,pressure,timestamp,gx,gy,gz
0,5000.0,13.79,-20.45,17.76,ACCURACY_VERYGOOD,5000.0,34.0,5000.0,-5.106283187866211,4.201796531677246,-7.817351341247559,5000.0,0.0,5000.0,1001.69,5000.0,6.470240116119385,-3.5403199195861816,-4.822159767150879
1,5100.0,13.79,-20.45,17.76,ACCURACY_VERYGOOD,5100.0,34.0,5100.0,-5.106283187866211,4.201796531677246,-7.817351341247559,5100.0,0.0,5100.0,1001.69,5100.0,6.470240116119385,-3.5403199195861816,-4.822159767150879
2,5200.0,14.51,-20.03,16.44,ACCURACY_VERYGOOD,5200.0,34.0,5200.0,-5.106283187866211,4.201796531677246,-7.817351341247559,5200.0,0.0,5200.0,1001.69,5200.0,6.470240116119385,-3.5403199195861816,-4.822159767150879
3,5300.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,5300.0,34.0,5300.0,-5.106283187866211,4.201796531677246,-7.817351341247559,5300.0,0.0,5300.0,1001.69,5300.0,6.470240116119385,-3.5403199195861816,-4.822159767150879
4,5400.0,13.79,-19.79,15.77,ACCURACY_VERYGOOD,5400.0,34.0,5400.0,-5.31685209274292,2.8139593601226807,-7.668996810913086,5400.0,0.0,5400.0,1001.69,5400.0,8.301440238952638,4.3338398933410645,2.1363999843597408
5,5500.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,5500.0,33.0,5500.0,-5.31685209274292,2.8139593601226807,-7.668996810913086,5500.0,0.0,5500.0,1001.69,5500.0,8.301440238952638,4.3338398933410645,2.1363999843597408
6,5600.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,5600.0,31.0,5600.0,-5.31685209274292,2.8139593601226807,-7.668996810913086,5600.0,0.0,5600.0,1001.71,5600.0,8.301440238952638,4.3338398933410645,2.1363999843597408
7,5700.0,13.79,-19.61,15.17,ACCURACY_VERYGOOD,5700.0,31.0,5700.0,-5.422136306762695,2.9168508052825928,-7.640282154083253,5700.0,0.0,5700.0,1001.71,5700.0,1.2207999229431152,-0.122079998254776,-0.3051999807357788
8,5800.0,13.79,-18.29,15.59,ACCURACY_VERYGOOD,5800.0,31.0,5800.0,-5.422136306762695,2.9168508052825928,-7.640282154083253,5800.0,0.0,5800.0,1001.73,5800.0,1.2207999229431152,-0.122079998254776,-0.3051999807357788
9,5900.0,15.23,-17.15,16.61,ACCURACY_VERYGOOD,5900.0,31.0,5900.0,-5.312066078186035,3.2207393646240234,-7.432106971740723,5900.0,0.0,5900.0,1001.73,5900.0,12.452159881591795,4.761119842529297,-1.3428800106048584
10,6000.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,6000.0,30.0,6000.0,-5.312066078186035,3.2207393646240234,-7.432106971740723,6000.0,0.0,6000.0,1001.75,6000.0,12.452159881591795,4.761119842529297,-1.3428800106048584
11,6100.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,6100.0,30.0,6100.0,-5.312066078186035,3.2207393646240234,-7.432106971740723,6100.0,0.0,6100.0,1001.75,6100.0,12.452159881591795,4.761119842529297,-1.3428800106048584
12,6200.0,15.89,-17.63,17.94,ACCURACY_VERYGOOD,6200.0,31.0,6200.0,-5.345565319061278,2.562713146209717,-7.434500217437744,6200.0,0.0,6200.0,1001.77,6200.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165
13,6300.0,16.61,-17.39,15.17,ACCURACY_VERYGOOD,6300.0,31.0,6300.0,-5.345565319061278,2.562713146209717,-7.434500217437744,6300.0,0.0,6300.0,1001.77,6300.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165
14,6400.0,15.89,-17.15,16.61,ACCURACY_VERYGOOD,6400.0,33.0,6400.0,-5.1637115478515625,3.086741209030152,-7.716853141784668,6400.0,0.0,6400.0,1001.78,6400.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938
15,6500.0,16.61,-17.63,15.83,ACCURACY_VERYGOOD,6500.0,33.0,6500.0,-5.1637115478515625,3.086741209030152,-7.716853141784668,6500.0,0.0,6500.0,1001.78,6500.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938
16,6600.0,15.89,-14.15,14.09,ACCURACY_VERYGOOD,6600.0,33.0,6600.0,-4.761716842651367,3.493520975112915,-7.623533248901367,6600.0,0.0,6600.0,1001.78,6600.0,29.848560333251953,-3.84552001953125,-3.0520000457763667
17,6700.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,6700.0,33.0,6700.0,-4.761716842651367,3.493520975112915,-7.623533248901367,6700.0,0.0,6700.0,1001.79,6700.0,29.848560333251953,-3.84552001953125,-3.0520000457763667
18,6800.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,6800.0,35.0,6800.0,-4.761716842651367,3.493520975112915,-7.623533248901367,6800.0,0.0,6800.0,1001.79,6800.0,29.848560333251953,-3.84552001953125,-3.0520000457763667
19,6900.0,18.0,-8.88,15.77,ACCURACY_VERYGOOD,6900.0,35.0,6900.0,-4.321437358856201,0.5503491759300232,-9.128618240356444,6900.0,0.0,6900.0,1001.79,6900.0,88.14176177978516,-13.24567985534668,-1.8312000036239624
20,6000.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,6000.0,30.0,6000.0,-5.312066078186035,3.2207393646240234,-7.432106971740723,6000.0,0.0,6000.0,1001.75,6000.0,12.452159881591795,4.761119842529297,-1.3428800106048584
